series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
W0.1,3817,3817,0.0,7.302999973297119,22.629483363876364,1.327674728276836,0.06792974859169057,382,1.3310594357229844,0.06518226100485845,417,0.42014131913316766,,,,,,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,
W1,3057,3057,0.0,12.473999977111816,28.25539352303437,1.3568075433020836,0.07756352466233021,306,1.330263347377625,0.06897094162504984,372,0.41779488986774055,,,,,,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,
W5,2319,2319,0.0,19.98900008201599,37.24740750319796,1.368531952492211,0.08984852446815177,232,1.3196531042794926,0.06152914324749415,460,0.431876329813555,,,,,,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,
W30,1220,1220,0.0,46.26699995994568,70.800604917964,2.0866867428832925,0.1889197410239719,122,1.4231625221896282,0.09363721936778857,231,0.5189896617392983,,,,,,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,
deseas,6168,5140,0.16666666666666666,8.755088198068218,36.56576342519261,1.9713288945644056,0.07936271298021162,617,2.352516771891101,0.15445029277984504,232,1.2165567859683584,2.329539418524349,182.2904748745364,257.0,0.36,5140.0,SYRUPUSDT,1754858.54371,6169,16290,2.6406224671745826,27.736630974473485
fill,2551,1417,0.44453155625245,30.0,33.850820462594356,1.1264986795500527,0.07054408370095888,255,1.4826795898197889,0.06501980121571513,520,1.395948696435113,1.2023567614744561,144.11379987618017,115.0,0.005,1417.0,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,
order,1944,1417,0.27109053497942387,30.0,44.4204953704106,0.8570858174250315,0.061535175525585455,194,1.466504915061324,0.06493792912480109,510,1.62930969990903,1.2023567614744561,144.11379987618017,115.0,0.0,1417.0,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,
W0.1,1196,1196,0.0,40.005499958992004,72.20187541812558,1.1338581002775132,0.10350660975532477,120,0.8791081279476094,0.06589193999505615,178,2.342029216240973,,,,,,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,
W1,1172,1172,0.0,42.237500071525574,73.68041211610768,1.2067964742815518,0.11156837351464857,117,0.8613857852888156,0.06385016247269205,182,2.3654742995806752,,,,,,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,
W5,1131,1131,0.0,43.99499988555908,76.3514084881328,1.1885948830076452,0.11181360104992522,113,0.8631642436782864,0.0639819905792826,182,2.3934791475196895,,,,,,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,
W30,791,791,0.0,60.0,109.16996586609127,1.4906109743788276,0.16770683722611704,79,0.96554996497985,0.07137550722825481,183,2.41947485918986,,,,,,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,
deseas,1944,1417,0.27109053497942387,68.12887112435695,75.68240375095515,1.913634301702475,0.13739093595180502,194,2.211058540093733,0.10253538458441575,465,0.7419324275907034,1.7967149141333425,145.0191651454338,251.0,0.0,1417.0,RSRUSDT,235710.8389189,1945,2552,1.3120822622107968,13.595364385215902
fill,2782,1986,0.2861250898634076,12.015499949455261,30.95527821706406,1.86140694225247,0.11163976955493711,278,0.7143295026306622,0.0237058571529792,908,0.47687233977149956,2.406512799021684,149.20397409693945,161.0,0.105,1986.0,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,
order,2135,1986,0.06978922716627635,12.015499949455261,40.33610491797293,2.0195847515279324,0.1380559714578096,214,1.3480026182081324,0.06455761701333407,436,0.5163718208072631,2.406512799021684,149.20397409693945,161.0,0.085,1986.0,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,
W0.1,1771,1771,0.0,17.14199995994568,48.626529644196616,2.2268385791588354,0.16737943730282018,177,1.3715587519488075,0.06660878125801252,424,0.564800809644453,,,,,,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,
W1,1611,1611,0.0,22.36899995803833,53.45598013648182,2.4056580845108244,0.18959241702562027,161,1.3738084632613177,0.0667968532711159,423,0.6116550964464039,,,,,,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,
W5,1274,1274,0.0,37.56750011444092,67.59621978011947,2.602753203440948,0.2309569997476968,127,1.3794272806160195,0.06771342203813772,415,0.7167639566709441,,,,,,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,
W30,835,835,0.0,70.86800003051758,103.13483113757151,2.781239732066685,0.30345813328605437,84,1.9150296790972563,0.11697905591057264,268,0.9134829563413425,,,,,,AMPUSDT,142844.081917,2136,2783,1.3029026217228465,
