market,bin_s,sym_i,sym_h,p_i,p_h,or_crude,or_mh,ci_lo,ci_hi
binance,5.0,AUSDT,BICOUSDT,0.033622685185185186,0.6800925925925926,0.9437948762841661,0.8651187309802794,0.7177355095289406,1.0828420400221652
binance,5.0,AUSDT,ETHUSDT,0.033622685185185186,0.9404513888888889,0.9285720431069638,0.9651142355008788,0.7613336435709104,1.3372546454191172
binance,5.0,AUSDT,HEMIUSDT,0.033622685185185186,0.6777199074074074,0.7226172732623382,1.143131399317406,0.8482883876724457,1.5437866786942713
binance,5.0,AUSDT,LINKUSDT,0.033622685185185186,0.7530092592592592,1.5998787008219615,1.2145309415500813,1.099264873177765,1.3841323212205945
binance,5.0,AUSDT,LQTYUSDT,0.033622685185185186,0.03234953703703704,0.842569142261119,0.8767392079914378,0.4574337030593012,1.3222110768577446
binance,5.0,AUSDT,PLUMEUSDT,0.033622685185185186,0.9414930555555555,1.769642857142857,1.1245365689248399,0.8050421518507413,1.7591657586940117
binance,5.0,AUSDT,PYPLBUSDT,0.033622685185185186,0.02326388888888889,0.5033652361840074,0.5861182519280206,0.24170312767324748,1.0656258745788028
binance,5.0,AUSDT,RSRUSDT,0.033622685185185186,0.06689814814814815,1.003772625013627,0.8635367990654205,0.5577225632371675,1.3511895247049623
binance,5.0,AUSDT,SMHBUSDT,0.033622685185185186,0.024016203703703703,0.852795597168861,1.1636420525657074,0.5219336618822675,2.0104771890705737
binance,5.0,AUSDT,SOLUSDT,0.033622685185185186,0.8740162037037037,1.1291607464832032,1.0954914147266408,0.849797043035182,1.4052753398647624
binance,5.0,AUSDT,SPCXBUSDT,0.033622685185185186,0.3865162037037037,0.8477655388557179,0.9073250160535731,0.6931867596673708,1.1785160736927285
binance,5.0,AUSDT,SYRUPUSDT,0.033622685185185186,0.14884259259259258,0.7131040837592725,0.8735134597203564,0.6212149804405831,1.2402034013408998
binance,5.0,AUSDT,TRUMPUSDT,0.033622685185185186,0.1752314814814815,1.0521719082099499,1.0573253137298582,0.8351293495318668,1.2780744272765527
binance,5.0,AUSDT,XPLUSDT,0.033622685185185186,0.9575231481481481,2.3450516684117084,1.0984873949579832,0.7387717802786989,2.207068093963723
binance,5.0,AUSDT,XRPUSDT,0.033622685185185186,0.7028935185185186,1.1675955080920402,1.1124177906587893,0.9087561814569448,1.349120682735086
binance,5.0,AUSDT,XVSUSDT,0.033622685185185186,0.1355324074074074,1.0498856119318283,1.0245746691871456,0.77754091992438,1.372740053453242
binance,5.0,BICOUSDT,ETHUSDT,0.6800925925925926,0.9404513888888889,0.8125519758939854,0.8267086034501704,0.7139400470977496,0.9411044701480208
binance,5.0,BICOUSDT,HEMIUSDT,0.6800925925925926,0.6777199074074074,0.7131859385683786,1.030646108775758,0.9267718870361216,1.1480194652299618
binance,5.0,BICOUSDT,LINKUSDT,0.6800925925925926,0.7530092592592592,1.282668815397189,1.0547303924986868,0.9679291173344421,1.142936040283682
binance,5.0,BICOUSDT,LQTYUSDT,0.6800925925925926,0.03234953703703704,1.0789725165785755,1.0381915936117807,0.8623833688320254,1.2972574667294552
binance,5.0,BICOUSDT,PLUMEUSDT,0.6800925925925926,0.9414930555555555,1.0670391061452513,0.9761763973608862,0.8068828711395004,1.20578144173892
binance,5.0,BICOUSDT,PYPLBUSDT,0.6800925925925926,0.02326388888888889,1.055901983165305,1.0618560494554017,0.8297079911043186,1.3634485058216943
binance,5.0,BICOUSDT,RSRUSDT,0.6800925925925926,0.06689814814814815,0.9782135934129371,0.915038731384158,0.8116396780421491,1.0564496980908407
binance,5.0,BICOUSDT,SMHBUSDT,0.6800925925925926,0.024016203703703703,0.9120364706333053,1.0235619054113956,0.7912148483482014,1.3614512699551968
binance,5.0,BICOUSDT,SOLUSDT,0.6800925925925926,0.8740162037037037,0.9965297062229337,0.9791039452093887,0.874523357128383,1.0771029114876136
binance,5.0,BICOUSDT,SPCXBUSDT,0.6800925925925926,0.3865162037037037,1.0455822856454962,1.0504730461659044,0.9817605703298562,1.1299668465836301
binance,5.0,BICOUSDT,SYRUPUSDT,0.6800925925925926,0.14884259259259258,0.7886804113056755,0.928709297370466,0.8445314924640673,1.0181656579167577
